model,reference_scene_id,master_sequence_id,order_id,T,repeat,latency_ms,start_allocated_bytes,peak_allocated_bytes,incremental_peak_allocated_bytes,window_voxel_points,window_segments
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,1,632.488067,618356224,2232671232,1614315008,116239,4927
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,2,633.740366,618356224,2232671232,1614315008,116239,4927
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,3,632.901702,618356224,2232671232,1614315008,116239,4927
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,4,635.150335,618356224,2232671232,1614315008,116239,4927
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,5,632.789955,618356224,2232671232,1614315008,116239,4927
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,6,632.754924,618356224,2232671232,1614315008,116239,4927
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,7,633.775378,618356224,2232671232,1614315008,116239,4927
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,8,633.419357,618356224,2232671232,1614315008,116239,4927
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,9,632.457878,618356224,2232671232,1614315008,116239,4927
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,0,576.341008,614812160,2015870976,1401058816,100742,4181
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,1,575.418947,614812160,2015870976,1401058816,100742,4181
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,2,575.14114,614812160,2015870976,1401058816,100742,4181
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,3,576.36613,614812160,2015870976,1401058816,100742,4181
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,4,575.806035,614812160,2015870976,1401058816,100742,4181
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,5,575.621128,614812160,2015870976,1401058816,100742,4181
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,6,576.035519,614812160,2015870976,1401058816,100742,4181
