method,reference_scene_id,T,master_sequence_id,measured_repeats,median_input_prepare_ms,minimum_input_prepare_ms,maximum_input_prepare_ms,median_network_forward_ms,minimum_network_forward_ms,maximum_network_forward_ms,median_scorer_ms,minimum_scorer_ms,maximum_scorer_ms,median_refiner_ms,minimum_refiner_ms,maximum_refiner_ms,median_state_update_ms,minimum_state_update_ms,maximum_state_update_ms,median_materialize_ms,minimum_materialize_ms,maximum_materialize_ms,median_end_to_end_ms,minimum_end_to_end_ms,maximum_end_to_end_ms,median_prefix_cumulative_ms,minimum_prefix_cumulative_ms,maximum_prefix_cumulative_ms,maximum_peak_allocated_bytes,maximum_peak_reserved_bytes,maximum_cpu_rss_bytes,maximum_resident_state_bytes,maximum_soft_buffer_bytes,maximum_archive_bytes
R1-D0,280d8ebb-6cc6-2788-9153-98959a2da801,4,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,3,13.285698,9.106541,15.399735,587.659595,584.280626,598.676872,0.0,0.0,0.0,0.0,0.0,0.0,18.928153000000002,18.434776,26.673189,839.839322,823.112239,1086.696504,1451.843379,1445.232578,1725.613282,7232.342671,6757.829186999999,7429.309997,2011204608,7044333568,3938144256,62616,4122507,2550236
R1-D0,280d8ebb-6cc6-2788-9153-98959a2da801,5,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,3,12.506403,10.086873,17.761015,758.561194,697.095504,766.649627,0.0,0.0,0.0,0.0,0.0,0.0,29.413376,21.282491,31.786551,1319.9492030000001,1147.0849680000001,1433.3883270000001,2128.715108,1875.701562,2241.77045,9305.011559,8886.544295,9474.113121,2410809344,7044333568,3938144256,62616,12087737,2893864
R1-D0,5630cfcf-12bf-2860-8784-83d28a611a83,2,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,3,6.562022,6.469786,6.732839,560.716292,506.724146,563.293331,0.0,0.0,0.0,0.0,0.0,0.0,23.647600999999998,18.462038,24.995936999999998,606.5760779999999,574.830483,618.1546549999999,1165.948486,1138.389106,1213.358215,2554.397806,2316.243132,2619.787247,1734459392,7044333568,3938144256,62616,5173693,563757
R1-D0,5630cfcf-12bf-2860-8784-83d28a611a83,3,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,3,8.251103,7.11385,10.174197,559.936457,516.527461,573.675785,0.0,0.0,0.0,0.0,0.0,0.0,24.900835,18.696356,25.839596999999998,653.6642899999999,633.9297750000001,720.262007,1248.851767,1176.407325,1328.246639,3803.249573,3492.6504569999997,3948.033886,1735496704,7044333568,3938144256,62616,5031203,1167131
R1-D0,5630cfcf-12bf-2860-8784-83d28a611a83,4,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,3,6.341569,6.154748,11.708837,538.768223,528.643458,546.65098,0.0,0.0,0.0,0.0,0.0,0.0,23.596769,23.452313999999998,23.609116,676.0011440000001,606.660497,866.447236,1250.260478,1183.080812,1425.195475,5198.294364,4675.731269,5228.445048,1571555840,7044333568,3938144256,62616,3904330,1760867
R1-D0,5630cfcf-12bf-2860-8784-83d28a611a83,5,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,3,6.482623,6.152584,6.794868,532.615096,532.05674,551.898664,0.0,0.0,0.0,0.0,0.0,0.0,24.238896,24.031855999999998,26.043445,625.809302,619.3163569999999,732.874598,1189.059625,1182.27364,1317.476518,6410.718687999999,5864.790894,6515.770882000001,1611501568,7044333568,3938144256,62616,4681953,2108602
R1-D0,8eabc45f-5af7-2f32-8528-640861d2a135,2,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,8.918843,8.911271,9.616298,732.92284,726.936788,734.680536,0.0,0.0,0.0,0.0,0.0,0.0,20.287153,20.202543,20.506553999999998,914.8015210000001,871.271789,936.097109,1677.983574,1627.466641,1700.127383,3481.776297,3438.9971889999997,3567.890108,2545498624,9093251072,3938152448,62616,6643566,896029
R1-D0,8eabc45f-5af7-2f32-8528-640861d2a135,3,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,7.172183,7.118511,8.309449,588.053251,574.087764,632.561118,0.0,0.0,0.0,0.0,0.0,0.0,20.149371,19.690683,24.84065,751.4908849999999,709.366358,765.880958,1374.039903,1352.591166,1382.539905,4855.8162,4821.537093999999,4920.481274,1963618304,9093251072,3938152448,62616,1773178,1774521
R1-D0,8eabc45f-5af7-2f32-8528-640861d2a135,4,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,7.136077,6.662508,7.319393,534.537716,530.061992,598.203014,0.0,0.0,0.0,0.0,0.0,0.0,19.138092,18.946537,25.268463999999998,704.1680240000001,624.358792,704.181276,1265.134603,1180.167053,1335.135682,6100.648327,6086.671697,6190.951882,1814171648,9093251072,3938152448,62616,5351864,1947965
R1-D0,8eabc45f-5af7-2f32-8528-640861d2a135,5,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,7.309797,6.301503,12.557564,554.208262,531.035181,589.569608,0.0,0.0,0.0,0.0,0.0,0.0,21.292209,19.954392,25.598711,727.8592610000001,699.7038,772.864969,1355.750447,1257.128301,1355.819636,7442.491333,7357.776628,7546.702329,1814841856,9093251072,3938152448,62616,2194246,2531385
R1-D0,ddc73797-765b-241a-9e2c-097c5989baf6,2,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,3,9.012832,8.847587,9.46527,716.173884,711.881631,729.662728,0.0,0.0,0.0,0.0,0.0,0.0,20.848378,20.683612,21.093806,989.044272,960.514085,1070.985984,1731.216753,1706.532972,1830.928406,3593.5152479999997,3497.9474609999997,3663.042522,2472690176,9093251072,3938156544,62616,8622364,998121
R1-D0,ddc73797-765b-241a-9e2c-097c5989baf6,3,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,3,10.265816,9.933268,14.093553,730.321035,730.12243,732.752961,0.0,0.0,0.0,0.0,0.0,0.0,19.618716000000003,19.400548,20.378702999999998,1124.2314470000001,1048.471791,1135.867176,1886.827691,1812.640689,1896.439281,5489.954529,5310.58815,5549.870213,2529476096,9093251072,3938156544,62616,9501644,2069340
R1-D0,ddc73797-765b-241a-9e2c-097c5989baf6,4,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,3,8.055442,7.763199,8.27535,575.967584,570.651437,575.988409,0.0,0.0,0.0,0.0,0.0,0.0,20.092271,19.940497,20.516624,841.497231,836.944986,954.498429,1445.775066,1435.429312,1559.409643,6925.383841,6869.997793,6995.645279,1931028480,9093251072,3938156544,62616,1642440,3170312
R1-D0,ddc73797-765b-241a-9e2c-097c5989baf6,5,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,3,4.975641,4.706275,5.080686,366.835193,361.072835,370.525212,0.0,0.0,0.0,0.0,0.0,0.0,19.353476999999998,18.611943,19.511308999999997,586.756102,549.8532620000001,604.381816,977.964231,934.768196,999.391167,7903.348072,7869.388959999999,7930.413475,1155709952,9093251072,3938156544,62616,2395283,3316277
