population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,reference_id,episode_id,T,absolute_stage_index,generation_mismatch_count,matched_query_count,null_win_count,read_valid_tokens,stored_current_tokens,stored_historical_tokens,stored_occupied_slots,stored_valid_tokens,valid_read_count,attention_scale,content_control,enabled,null_mass_mean,read_output_norm,max_source_age,mean_source_age
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-e0880e364224bdc9,5,4,0,19,5,168,0,168,22,168,14,11.321606636047363,native,True,0.0867084190249443,1.626862645149231,4,2.297619104385376
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-2187bc52366292f0,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-2187bc52366292f0,5,1,0,11,5,91,0,91,12,91,6,11.321606636047363,native,True,0.23212739825248718,0.6793065667152405,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-2187bc52366292f0,5,2,0,12,5,104,0,104,13,104,7,11.321606636047363,native,True,0.20914201438426971,0.7472735643386841,2,1.4807692766189575
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-2187bc52366292f0,5,3,0,15,3,145,0,145,19,145,12,11.321606636047363,native,True,0.09148434549570084,1.3224828243255615,3,1.765517234802246
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-2187bc52366292f0,5,4,0,14,5,148,0,148,20,148,9,11.321606636047363,native,True,0.21406911313533783,0.9058020114898682,4,2.5337839126586914
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-623782959294dced,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-623782959294dced,5,1,0,11,6,84,0,84,12,84,5,11.321606636047363,native,True,0.2756015658378601,0.5533724427223206,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-623782959294dced,5,2,0,12,7,100,0,100,13,100,5,11.321606636047363,native,True,0.21126465499401093,0.5632646083831787,2,1.3700000047683716
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-623782959294dced,5,3,0,13,5,104,0,104,13,104,8,11.321606636047363,native,True,0.16741235554218292,0.9105547070503235,3,1.9230769872665405
