tracker,score_reducer,reference_scene_id,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,trajectory_current_slice_AP,trajectory_current_slice_AP50,trajectory_current_slice_AP25,trajectory_current_slice_REC,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC,inference_unit
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,reverse,2,10,0.33457282185554504,0.46176257729530334,0.5017473101615906,0.490796834230423,0.6304833889007568,0.6808441877365112,0.5698769092559814,0.7052192091941833,0.7748087644577026,0.7370067834854126,0.5698769092559814,0.7052192091941833,0.7748087644577026,0.7370067834854126,reference_scene_id
B2,latest,137a8158-1db5-2cc0-8003-31c12610471e,reverse,2,12,0.27790477871894836,0.48663562536239624,0.5580365061759949,0.40702760219573975,0.6264941096305847,0.6763721704483032,0.44865015149116516,0.6767132878303528,0.765070378780365,0.5412804484367371,0.44865015149116516,0.6767132878303528,0.765070378780365,0.5412804484367371,reference_scene_id
B2,latest,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,2,5,0.3229948878288269,0.49701809883117676,0.5528308153152466,0.46879953145980835,0.6910160183906555,0.7756433486938477,0.46210023760795593,0.702285647392273,0.7861071825027466,0.6348447203636169,0.46210023760795593,0.702285647392273,0.7861071825027466,0.6348447203636169,reference_scene_id
B2,latest,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,2,5,0.26305556297302246,0.3580092787742615,0.6611519455909729,0.3314814865589142,0.4777778089046478,0.7444444298744202,0.43646499514579773,0.5996549129486084,0.8403284549713135,0.5209876298904419,0.43646499514579773,0.5996549129486084,0.8403284549713135,0.5209876298904419,reference_scene_id
B2,latest,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,2,5,0.25749725103378296,0.3585328459739685,0.5720503330230713,0.4469815492630005,0.6267385482788086,0.7799437046051025,0.48918405175209045,0.7060542702674866,0.8988305926322937,0.5651194453239441,0.48918405175209045,0.7060542702674866,0.8988305926322937,0.5651194453239441,reference_scene_id
B2,latest,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,2,6,0.1695539504289627,0.3479476571083069,0.44947782158851624,0.2633574306964874,0.4629298448562622,0.6080203056335449,0.3428148031234741,0.5776262879371643,0.7006441354751587,0.4830830991268158,0.3428148031234741,0.5776262879371643,0.7006441354751587,0.4830830991268158,reference_scene_id
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,reverse,3,10,0.18982946872711182,0.2519227862358093,0.27325376868247986,0.34295424818992615,0.43647587299346924,0.48237937688827515,0.5545385479927063,0.6868122816085815,0.7529590129852295,0.7408280372619629,0.5698769092559814,0.7052192091941833,0.7748087644577026,0.7370067834854126,reference_scene_id
B2,latest,137a8158-1db5-2cc0-8003-31c12610471e,reverse,3,12,0.12043837457895279,0.23215770721435547,0.3038133680820465,0.25458580255508423,0.42250630259513855,0.47719383239746094,0.44865015149116516,0.6767132878303528,0.765070378780365,0.5412804484367371,0.44865015149116516,0.6767132878303528,0.765070378780365,0.5412804484367371,reference_scene_id
B2,latest,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,3,5,0.2699606418609619,0.4275445342063904,0.46832889318466187,0.4050441086292267,0.6294304132461548,0.6783193349838257,0.46210023760795593,0.702285647392273,0.7861071825027466,0.6348447203636169,0.46210023760795593,0.702285647392273,0.7861071825027466,0.6348447203636169,reference_scene_id
B2,latest,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,3,5,0.1555349975824356,0.23629631102085114,0.5777513384819031,0.2074074000120163,0.3333333432674408,0.6222221851348877,0.43646499514579773,0.5996549129486084,0.8403284549713135,0.5209876298904419,0.43646499514579773,0.5996549129486084,0.8403284549713135,0.5209876298904419,reference_scene_id
B2,latest,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,3,5,0.08457733690738678,0.1229075938463211,0.2865334749221802,0.2852855324745178,0.4009818136692047,0.559778094291687,0.48960670828819275,0.7075757384300232,0.8960521817207336,0.5673124194145203,0.48918405175209045,0.7060542702674866,0.8988305926322937,0.5651194453239441,reference_scene_id
B2,latest,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,3,6,0.06676190346479416,0.17320644855499268,0.22888579964637756,0.15952660143375397,0.32527050375938416,0.43565404415130615,0.3428148031234741,0.5776262879371643,0.7006441354751587,0.4830830991268158,0.3428148031234741,0.5776262879371643,0.7006441354751587,0.4830830991268158,reference_scene_id
