tracker,score_reducer,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,trajectory_current_slice_AP,trajectory_current_slice_AP50,trajectory_current_slice_AP25,trajectory_current_slice_REC,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC
B2,max,reverse,4,43,0.044381942600011826,0.08080527931451797,0.22609896957874298,0.1543671041727066,0.2537875175476074,0.4053255319595337,0.3520706593990326,0.5520328879356384,0.7616010904312134,0.5111438632011414,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B2,max,reverse,5,43,0.02430829405784607,0.044061318039894104,0.17469486594200134,0.10812593996524811,0.17998971045017242,0.32352036237716675,0.3551624119281769,0.5504817962646484,0.7603521347045898,0.5101860761642456,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B2,max,sha256_seed45,2,43,0.19037428498268127,0.2776138186454773,0.4650839865207672,0.32949647307395935,0.5248408913612366,0.6341582536697388,0.3848382830619812,0.5754586458206177,0.7063072919845581,0.522435188293457,0.4066821336746216,0.5765329599380493,0.7118186950683594,0.522435188293457
B2,max,sha256_seed45,3,43,0.12182054668664932,0.20043416321277618,0.357348769903183,0.2523519992828369,0.4431336224079132,0.5322062969207764,0.4482589364051819,0.6683593988418579,0.7752063870429993,0.6180028915405273,0.4550597369670868,0.6505872011184692,0.7620928287506104,0.6180028915405273
B2,max,sha256_seed45,4,43,0.06553953140974045,0.10671964287757874,0.24715782701969147,0.15702766180038452,0.2834462821483612,0.3924442529678345,0.36224934458732605,0.6202723979949951,0.8165586590766907,0.5044739246368408,0.3610721528530121,0.5973870158195496,0.8014020323753357,0.5044739246368408
B2,max,sha256_seed45,5,43,0.02186303399503231,0.04968620464205742,0.17985667288303375,0.1030135527253151,0.21655212342739105,0.31159844994544983,0.4218636453151703,0.6544851660728455,0.7936583757400513,0.5617372989654541,0.44437670707702637,0.6596354246139526,0.806799590587616,0.5617372989654541
B2,mean,all,2,129,0.20727401971817017,0.3229290246963501,0.5232670307159424,0.34743866324424744,0.5327015519142151,0.6786665320396423,0.3608236312866211,0.5400422811508179,0.7602560520172119,0.4963539242744446,0.371692419052124,0.5463876724243164,0.7624458074569702,0.4963539242744446
B2,mean,all,3,129,0.10230721533298492,0.17374415695667267,0.3404560089111328,0.24769896268844604,0.39532071352005005,0.5357382297515869,0.37157270312309265,0.570161759853363,0.7794122099876404,0.5231457352638245,0.38442501425743103,0.5673840641975403,0.775846540927887,0.523158609867096
B2,mean,all,4,129,0.04529280215501785,0.08102074265480042,0.2207137644290924,0.1619921177625656,0.26867902278900146,0.4044623076915741,0.36311787366867065,0.5833424925804138,0.7886467576026917,0.5050413608551025,0.36625537276268005,0.5726837515830994,0.7827478051185608,0.5050792694091797
B2,mean,all,5,129,0.018228188157081604,0.03730339929461479,0.16501782834529877,0.1109112948179245,0.19508080184459686,0.325813889503479,0.3726048469543457,0.5696153044700623,0.7905508279800415,0.5076167583465576,0.3829203248023987,0.5740538239479065,0.790086030960083,0.5078316926956177
B2,mean,canonical,2,43,0.21863020956516266,0.3552480936050415,0.5654047131538391,0.35706475377082825,0.5309151411056519,0.7031175494194031,0.3606078028678894,0.554534375667572,0.7815447449684143,0.5034977197647095,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,mean,canonical,3,43,0.10669192671775818,0.1798558086156845,0.3535972833633423,0.2540697753429413,0.38026151061058044,0.5432702302932739,0.3633899986743927,0.5618271827697754,0.7864475250244141,0.5032063126564026,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,mean,canonical,4,43,0.04635549709200859,0.08173055201768875,0.22729915380477905,0.1738080233335495,0.26447322964668274,0.4165569245815277,0.36469507217407227,0.5591841340065002,0.7835628986358643,0.5028339624404907,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,mean,canonical,5,43,0.020698854699730873,0.03806505724787712,0.17440451681613922,0.12139875441789627,0.188499316573143,0.3421083986759186,0.36182287335395813,0.5565748810768127,0.7803127765655518,0.5031508207321167,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B2,mean,reverse,2,43,0.21513134241104126,0.34128567576408386,0.5400940775871277,0.3534207344055176,0.5317513346672058,0.6981421709060669,0.374973863363266,0.5623064637184143,0.7689441442489624,0.5104965567588806,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B2,mean,reverse,3,43,0.09759249538183212,0.16391630470752716,0.32944929599761963,0.2370789498090744,0.3720409572124481,0.5320612788200378,0.36933717131614685,0.564232587814331,0.7661457061767578,0.510774552822113,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B2,mean,reverse,4,43,0.04014698043465614,0.07309179753065109,0.214205801486969,0.1543671041727066,0.2537875175476074,0.4053255319595337,0.37713074684143066,0.5689457654953003,0.7770517468452454,0.5111438632011414,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
