method,reference_scene_id,master_sequence_id,order_id,horizon,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall,update_scan_count,update_point_count,cumulative_scan_count
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,2,0.5920138955116272,0.640625,0.640625,0.6180555820465088,0.6875,0.6875,0.5714285969734192,0.5714285969734192,0.5714285969734192,0.6666666865348816,3,3,3,3,0,0,0,0,0,1.0,1.0,,,,2,84797,2
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,2,0.546875,0.640625,0.640625,0.5763888955116272,0.6875,0.6875,0.5714285969734192,0.5714285969734192,0.5714285969734192,0.6666666865348816,0,3,0,3,0,3,0,0,0,0.0,0.0,0.0,,,2,33159,2
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,3,0.2839506268501282,0.3333333432674408,0.3472222089767456,0.2839506268501282,0.3333333432674408,0.3888888955116272,0.6230158805847168,0.75,0.75,0.7301587462425232,6,6,7,7,1,1,0,0,0,1.0,1.0,1.0,,,3,107369,5
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,3,0.2817901074886322,0.35277777910232544,0.35277777910232544,0.4135802388191223,0.5,0.5,0.6984127163887024,0.7738094925880432,0.7738094925880432,0.8888888955116272,1,6,1,7,0,6,0,0,0,0.16666666666666666,0.14285714285714285,0.0,,,2,22572,4
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,4,0.03395061567425728,0.1388888955116272,0.1388888955116272,0.06172839552164078,0.2222222238779068,0.2222222238779068,0.6122685670852661,0.75,0.75,0.625,8,8,11,11,1,1,2,1,0,1.0,1.0,1.0,0.0,0.0,4,135854,9
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,4,0.10493826866149902,0.1388888955116272,0.1388888955116272,0.16049382090568542,0.2222222238779068,0.2222222238779068,0.6111111044883728,0.75,0.75,0.6984127163887024,2,8,1,10,0,9,2,0,0,0.25,0.1,0.0,,0.0,2,28485,6
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,5,0.07407407462596893,0.1111111119389534,0.2222222238779068,0.07407407462596893,0.1111111119389534,0.2222222238779068,0.8888888955116272,1.0,1.0,0.8888888955116272,12,12,16,16,2,2,3,2,0,1.0,1.0,1.0,0.0,0.0,5,174294,14
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,sha256_seed45,5,0.10493826866149902,0.1388888955116272,0.1388888955116272,0.16049382090568542,0.2222222238779068,0.2222222238779068,0.7669753432273865,0.875,0.875,0.9074074029922485,2,11,1,15,0,14,3,1,1,0.18181818181818182,0.06666666666666667,0.0,1.0,0.3333333333333333,2,38440,8
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,canonical,2,0.4288184642791748,0.6111111044883728,0.7546296119689941,0.4506172835826874,0.6111111044883728,0.7777777910232544,0.5707937479019165,0.8055555820465088,1.0,0.6666666865348816,4,4,4,4,0,0,0,0,0,1.0,1.0,,,,2,71425,2
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,canonical,2,0.38598403334617615,0.5277777910232544,0.75,0.45679011940956116,0.6111111044883728,0.8333333134651184,0.4764465391635895,0.7222222089767456,1.0,0.6172839403152466,0,4,0,4,0,4,0,0,0,0.0,0.0,0.0,,,2,38980,2
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,canonical,3,0.31481480598449707,0.5,0.6111111044883728,0.31481480598449707,0.5,0.6111111044883728,0.5416666865348816,0.7083333134651184,0.875,0.6666666865348816,7,7,7,7,0,0,0,0,0,1.0,1.0,,,,3,99180,5
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,canonical,3,0.3211419880390167,0.4444444477558136,0.4444444477558136,0.327160507440567,0.4444444477558136,0.4444444477558136,0.5509259104728699,0.7083333134651184,0.75,0.7037037014961243,0,7,0,7,1,8,0,0,0,0.0,0.0,0.125,,,2,27755,4
