level_a_AP,level_a_AP25,level_a_AP50,level_a_REC,level_a_REC25,level_a_REC50,level_a_identity_correct_recoveries,level_a_identity_eligible_identity_count,level_a_identity_eligible_observation_count,level_a_identity_fragmentation_count,level_a_identity_gap_opportunities,level_a_identity_gap_recovery_accuracy,level_a_identity_gap_recovery_recall,level_a_identity_identity_switches,level_a_identity_matched_identity_transitions,level_a_identity_matched_observation_count,level_a_identity_merge_count,level_a_identity_normalized_id_switch_rate,level_a_identity_observation_coverage,level_a_identity_recovery_attempts,level_a_offline_reconstructed_t-REC,level_a_offline_reconstructed_t-REC25,level_a_offline_reconstructed_t-REC50,level_a_offline_reconstructed_t-mAP,level_a_offline_reconstructed_t-mAP25,level_a_offline_reconstructed_t-mAP50,level_a_offline_reconstructed_t_REC,level_a_offline_reconstructed_t_REC25,level_a_offline_reconstructed_t_REC50,level_a_offline_reconstructed_t_mAP,level_a_offline_reconstructed_t_mAP25,level_a_offline_reconstructed_t_mAP50,level_a_online_t-REC,level_a_online_t-REC25,level_a_online_t-REC50,level_a_online_t-mAP,level_a_online_t-mAP25,level_a_online_t-mAP50,level_a_online_t_REC,level_a_online_t_REC25,level_a_online_t_REC50,level_a_online_t_mAP,level_a_online_t_mAP25,level_a_online_t_mAP50,level_a_raw_local_AP,level_a_raw_local_AP25,level_a_raw_local_AP50,level_a_raw_local_REC,level_a_raw_local_REC25,level_a_raw_local_REC50,level_b_correct_recoveries,level_b_eligible_identity_count,level_b_eligible_observation_count,level_b_fragmentation_count,level_b_gap_opportunities,level_b_gap_recovery_accuracy,level_b_gap_recovery_recall,level_b_identity_switches,level_b_matched_identity_transitions,level_b_matched_observation_count,level_b_merge_count,level_b_normalized_id_switch_rate,level_b_observation_coverage,level_b_recovery_attempts,method,method_code,scene_id
0.0,0.0,0.0,0.0,0.0,0.0,0,23,59,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,59,0,0,0.0,0.0,0,0,2,0,0.0,0.03389830508474576,0,Pairwise Feature Association,B1,scene_f
0.0,0.0,0.0,0.0,0.0,0.0,0,23,59,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,59,0,0,0.0,0.0,0,0,2,0,0.0,0.03389830508474576,0,Pairwise Feature-Class Association,B2,scene_f
0.0,0.0,0.0,0.0,0.0,0.0,0,23,59,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,59,0,0,0.0,0.0,0,0,2,0,0.0,0.03389830508474576,0,EMA Temporal Association,B3,scene_f
0.0,0.0,0.0,0.0,0.0,0.0,0,23,59,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,59,0,0,0.0,0.0,0,0,2,0,0.0,0.03389830508474576,0,Persist4D,B4,scene_f
0.0,0.0,0.0,0.0,0.0,0.0,0,24,65,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,65,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,Pairwise Feature Association,B1,scene_g
0.0,0.0,0.0,0.0,0.0,0.0,0,24,65,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,65,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,Pairwise Feature-Class Association,B2,scene_g
0.0,0.0,0.0,0.0,0.0,0.0,0,24,65,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,65,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,EMA Temporal Association,B3,scene_g
0.0,0.0,0.0,0.0,0.0,0.0,0,24,65,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,65,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,Persist4D,B4,scene_g
0.007407407407407407,0.007407407407407407,0.007407407407407407,0.022222222222222223,0.022222222222222223,0.022222222222222223,0,15,45,0,0,0.0,0.0,0,0,1,0,0.0,0.022222222222222223,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407407,0.007407407407407407,0.007407407407407407,0.022222222222222223,0.022222222222222223,0.022222222222222223,0,16,48,0,0,0.0,0.0,0,0,2,0,0.0,0.041666666666666664,0,Pairwise Feature Association,B1,scene_h
0.007407407407407407,0.007407407407407407,0.007407407407407407,0.022222222222222223,0.022222222222222223,0.022222222222222223,0,15,45,0,0,0.0,0.0,0,0,1,0,0.0,0.022222222222222223,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407407,0.007407407407407407,0.007407407407407407,0.022222222222222223,0.022222222222222223,0.022222222222222223,0,16,48,0,0,0.0,0.0,0,0,2,0,0.0,0.041666666666666664,0,Pairwise Feature-Class Association,B2,scene_h
