method,reference_scene_id,master_sequence_id,order_id,T,prediction_digest,F1,F2,F3,F4,F5,F6,F7,unclassified
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T3,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,16,5,1,0,0,8,9,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T4,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,18,9,5,0,0,12,10,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,reverse,T5,895490740fd149b85574f10a2b7575fbf183885f63c5adf32b4252356832f6b7,20,12,6,0,0,16,10,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T2,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,10,4,0,0,0,6,7,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T3,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,12,7,2,0,0,10,7,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T4,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,17,13,3,0,0,14,8,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_02-scene0449_00-scene0449_04-scene0449_05-scene0449_03,sha256_seed45,T5,45b3466b36e584863ceeebd7d1b8b659fa09f7d10cfb0b2610ce50cbc6c43ea4,20,17,4,1,0,18,8,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T2,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,13,3,0,1,0,4,6,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T3,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,17,6,0,1,1,8,6,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T4,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,24,8,0,1,2,12,10,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,canonical,T5,a9104d3742f6407b354d52a29b6ae6a3674c750993eeb6ff4ac9a8d74d764fa0,28,12,0,1,2,16,12,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T2,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,7,3,0,0,0,6,8,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T3,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,9,6,1,0,0,10,8,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T4,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,19,15,1,1,0,12,8,0
B4,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_03-scene0449_01-scene0449_02-scene0449_00-scene0449_04,reverse,T5,79b1ccbd21b750b13bc661b74f8fb1df0072c61a9c546fc2f53b48edc97baf46,22,16,2,1,0,14,8,0
