method,reference_scene_id,master_sequence_id,order_id,T,prediction_digest,t_mAP,t_REC,identity_switches,transition_opportunities,identity_switch_rate,wrong_reactivations,predicted_reactivation_events,wrong_reactivation_rate,correct_reactivations,reactivation_attempts,gap_opportunities,reactivation_accuracy,reactivation_recall,false_births,births,rejected_births,false_birth_rate
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.043981485068798065,0.06481482088565826,5,17,0.29411764705882354,6,9,0.6666666666666666,3,9,14,0.3333333333333333,0.21428571428571427,7,19,4,0.30434782608695654
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T2,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,0.45185181498527527,0.5481482148170471,1,4,0.25,0,0,,0,0,0,,,2,14,3,0.11764705882352941
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T3,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,0.05092592537403107,0.051643192768096924,2,6,0.3333333333333333,0,0,,0,0,1,,0.0,4,17,3,0.2
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T4,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,0.030092593282461166,0.051643192768096924,2,8,0.25,0,2,0.0,2,2,4,1.0,0.5,4,17,3,0.2
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T5,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,0.009259259328246117,0.03703703731298447,3,17,0.17647058823529413,5,11,0.45454545454545453,6,11,15,0.5454545454545454,0.4,4,17,3,0.2
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T2,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,0.2534722089767456,0.2785714268684387,0,0,,0,0,,0,0,0,,,2,12,1,0.15384615384615385
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T3,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,0.02083333395421505,0.04285714402794838,0,4,0.0,3,4,0.75,1,4,5,0.25,0.2,5,15,3,0.2777777777777778
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T4,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,0.05092592537403107,0.05092592537403107,2,14,0.14285714285714285,7,9,0.7777777777777778,2,9,14,0.2222222222222222,0.14285714285714285,6,17,4,0.2857142857142857
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,reverse,T5,ee5dfe110e474f8fc6827efcd6fca1786f51dfd148df603252f7e7c14c6fc230,0.05092592537403107,0.05092592537403107,2,18,0.1111111111111111,7,9,0.7777777777777778,2,9,16,0.2222222222222222,0.125,6,17,4,0.2857142857142857
P6B,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.26423609256744385,0.32571426033973694,1,1,1.0,0,0,,0,0,0,,,4,15,2,0.23529411764705882
