method,reference_id,master_sequence_id,T,scope,measured_repeats,state_snapshot_sha256,median_latency_ms,mean_latency_ms,std_latency_ms,loaded_model_allocated_bytes,absolute_peak_allocated_bytes,incremental_peak_bytes,peak_reserved_bytes,cpu_state_bytes,visual_state_bytes,lag1_buffer_bytes,archive_bytes
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,2,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,6.18517,6.1820593,0.07247455765308264,593637376,593637376,0,13042188288,0,0,2231478,6454752
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,3,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,2111.97916,2120.5200805,24.603220492175918,593637376,2304655360,1711017984,13042188288,0,0,3339216,9614877
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,3,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,995.685661,1027.9995417,63.18623475938232,593637376,2304694784,1711057408,13042188288,0,0,3339216,9614877
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,3,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,691.493909,692.9749932,10.994443109338285,593637376,2304687104,1711049728,13042188288,0,0,3339216,9614877
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,3,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,9.60079,9.4135932,0.4521407884167943,593637376,593637376,0,13042188288,0,0,3339216,9614877
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,4,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,3304.4286275,3303.3026678,43.346338593032876,593637376,2719326208,2125688832,13042188288,0,0,4154624,11928858
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,4,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1177.0064969999999,1183.6864356,27.1317854503612,593637376,2721652224,2128014848,13042188288,0,0,4154624,11928858
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,4,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,818.3554075,818.6430274,5.3290928848773875,593637376,2721667584,2128030208,13042188288,0,0,4154624,11928858
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,4,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,11.95814,11.9689514,0.11175812614678154,593637376,593637376,0,13042188288,0,0,4154624,11928858
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,5,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,4722.490304999999,4727.2150226,25.145540002956174,593637376,3323691008,2730053632,13042188288,0,0,5399897,15507607
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,5,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1481.981674,1513.7888972,64.17960039571749,593637376,3322971648,2729334272,13042188288,0,0,5399897,15507607
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,5,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,988.502875,988.9023593,3.880562983971865,593637376,3322969088,2729331712,13042188288,0,0,5399897,15507607
FH-CONT,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,5,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,12.6480165,12.577441499999999,0.7800533672793483,593637376,593637376,0,13042188288,0,0,5399897,15507607
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,2,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,1784.6164175,1783.5955281000001,8.123508133522277,593637376,2546915840,1953278464,13042188288,0,0,3693374,10732896
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,2,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1111.4881540000001,1107.6123022000002,10.773918178436734,593637376,2545658368,1952020992,13042188288,0,0,3693374,10732896
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,2,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,764.6781335000001,765.4071659,3.6769474294534805,593637376,2545629696,1951992320,13042188288,0,0,3693374,10732896
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,2,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,9.6945795,9.8196669,0.29573637439971756,593637376,593637376,0,13042188288,0,0,3693374,10732896
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,3130.7114565,3133.3034243,22.414186577392325,593637376,3020406272,2426768896,13042188288,0,0,4601114,13217501
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1339.8714719999998,1345.2035269,12.478293248125379,593637376,3022723072,2429085696,13042188288,0,0,4601114,13217501
