method,reference_id,master_sequence_id,order_id,T,scope,repeat,state_snapshot_sha256,latency_ms,loaded_model_allocated_bytes,peak_allocated_bytes,incremental_peak_bytes,peak_reserved_bytes,cpu_state_bytes,visual_state_bytes,lag1_buffer_bytes,archive_bytes,point_count,superpoint_count,occupied_count,query_count,precision,source_commit
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,model_update,2,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1232.194952,559363072,1315661312,756298240,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,model_update,3,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1180.257653,559363072,1315627008,756263936,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,model_update,4,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1179.652993,559363072,1315616768,756253696,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,model_update,5,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1263.52191,559363072,1315566080,756203008,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,model_update,6,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1241.941083,559363072,1315590656,756227584,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,model_update,7,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1231.203099,559363072,1315608576,756245504,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,model_update,8,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1236.04943,559363072,1315608576,756245504,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,model_update,9,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1662.684203,559363072,1315618304,756255232,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,end_to_end_update,0,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1446.342223,559363072,1315635200,756272128,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,end_to_end_update,1,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1308.483125,559363072,1315590656,756227584,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
