method,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC
B2,sha256_seed45,3,43,0.11498615890741348,0.1915319412946701,0.3457598090171814,0.2523519992828369,0.4431336224079132,0.5322062969207764,0.43957626819610596,0.6612616777420044,0.7725600600242615,0.6180028915405273
B4,sha256_seed45,3,43,0.12826353311538696,0.21492065489292145,0.37737229466438293,0.2552339434623718,0.44895145297050476,0.532599151134491,0.43555212020874023,0.657322883605957,0.7694637775421143,0.6180028915405273
Oracle-ID,sha256_seed45,3,43,0.15351606905460358,0.23396901786327362,0.3436151444911957,0.3231218159198761,0.5380409955978394,0.5552950501441956,0.4407193064689636,0.630644679069519,0.7505782842636108,0.6180028915405273
FullHistory,sha256_seed45,4,43,0.07458800822496414,0.14682969450950623,0.26690179109573364,0.20881201326847076,0.3713606894016266,0.4703744947910309,0.37656667828559875,0.6091493368148804,0.7957767844200134,0.501038670539856
B2,sha256_seed45,4,43,0.06270090490579605,0.10262907296419144,0.23563560843467712,0.15702766180038452,0.2834462821483612,0.3924442529678345,0.36261963844299316,0.625020444393158,0.8107211589813232,0.5044739246368408
B4,sha256_seed45,4,43,0.05318271741271019,0.11913521587848663,0.20587635040283203,0.15999412536621094,0.30564069747924805,0.3707234561443329,0.35083675384521484,0.6179414987564087,0.8117422461509705,0.5044739246368408
Oracle-ID,sha256_seed45,4,43,0.10056842118501663,0.1642778515815735,0.272122859954834,0.2669939398765564,0.4479626417160034,0.5033998489379883,0.34518468379974365,0.586219072341919,0.7898960113525391,0.5044739246368408
FullHistory,sha256_seed45,5,43,0.044928643852472305,0.08609679341316223,0.16184259951114655,0.13143137097358704,0.2292863428592682,0.3931214213371277,0.4201193153858185,0.6292964816093445,0.7868200540542603,0.5535133481025696
B2,sha256_seed45,5,43,0.01870347000658512,0.04425425827503204,0.16545766592025757,0.1030135527253151,0.21655212342739105,0.31159844994544983,0.4273192882537842,0.6493709683418274,0.7995266318321228,0.5617372989654541
B4,sha256_seed45,5,43,0.05809342861175537,0.1226920560002327,0.20528249442577362,0.1424552947282791,0.2795614004135132,0.33018946647644043,0.4374626576900482,0.6631854176521301,0.8158632516860962,0.5617372989654541
Oracle-ID,sha256_seed45,5,43,0.07164784520864487,0.12678839266300201,0.22683261334896088,0.2291516214609146,0.40643131732940674,0.45991280674934387,0.41906407475471497,0.6171610355377197,0.7745478749275208,0.5617372989654541
FullHistory,all,2,129,0.19099636375904083,0.2987154722213745,0.4959089159965515,0.34165626764297485,0.5186951160430908,0.6918497681617737,0.37085068225860596,0.5460096001625061,0.7594894170761108,0.49325576424598694
B2,all,2,129,0.20727401971817017,0.3229290246963501,0.5232670307159424,0.34743866324424744,0.5327015519142151,0.6786665320396423,0.3608236312866211,0.5400422811508179,0.7602560520172119,0.4963539242744446
B4,all,2,129,0.2072410136461258,0.32339704036712646,0.5257684588432312,0.34868067502975464,0.5337235331535339,0.6804587841033936,0.3617435097694397,0.5408530831336975,0.7627933025360107,0.4963539242744446
Oracle-ID,all,2,129,0.19787174463272095,0.29854753613471985,0.4264979362487793,0.37553489208221436,0.5557505488395691,0.6307881474494934,0.3578731119632721,0.5356135964393616,0.7531074285507202,0.4963539242744446
FullHistory,all,3,129,0.10789728909730911,0.18514050543308258,0.34857818484306335,0.2476949393749237,0.4108293354511261,0.5680026412010193,0.3669058680534363,0.5608996748924255,0.767978847026825,0.49847909808158875
B2,all,3,129,0.10230721533298492,0.17374415695667267,0.3404560089111328,0.24769896268844604,0.39532071352005005,0.5357382297515869,0.37157270312309265,0.570161759853363,0.7794122099876404,0.5231457352638245
B4,all,3,129,0.12310197949409485,0.21627987921237946,0.3861774206161499,0.2529574930667877,0.41096726059913635,0.5479671955108643,0.3690519332885742,0.570050060749054,0.7803565859794617,0.5231457352638245
Oracle-ID,all,3,129,0.1302938610315323,0.20478959381580353,0.3157493472099304,0.3153612017631531,0.48284319043159485,0.5510881543159485,0.3633197546005249,0.5476737022399902,0.7620818614959717,0.5231457352638245
FullHistory,all,4,129,0.06899910420179367,0.13188578188419342,0.24188090860843658,0.18835905194282532,0.32543787360191345,0.4589711129665375,0.36049994826316833,0.5663458108901978,0.7679016590118408,0.49829205870628357
B2,all,4,129,0.04529280215501785,0.08102074265480042,0.2207137644290924,0.1619921177625656,0.26867902278900146,0.4044623076915741,0.36311787366867065,0.5833424925804138,0.7886467576026917,0.5050413608551025
