method,method_description,order_id,horizon,sequence_count,trajectory_candidate_count_total,trajectory_candidate_count_mean,empty_trajectory_mask_count,empty_trajectory_mask_rate,current_stage_candidate_count_total,current_stage_candidate_count_mean,score_count,score_min,score_q25,score_median,score_q75,score_max,score_mean,score_std,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC
F0,FullHistory official task prediction,reverse,2,43,4300,100.0,552,0.1283720930232558,2569,59.74418604651163,4300,0.0,0.0009371528867632151,0.003947482910007238,0.021664640866219997,0.9978318214416504,0.14575545618737484,0.31537713979807563,0.21109874546527863,0.3429367244243622,0.5463166832923889,0.3575153052806854,0.5420021414756775,0.7300193309783936,0.3819788098335266,0.5625064373016357,0.7700338959693909,0.5036863684654236
F0,FullHistory official task prediction,reverse,3,43,4300,100.0,422,0.09813953488372093,2470,57.44186046511628,4300,0.0,0.0014147679321467876,0.005586685612797737,0.051114646717906,0.9970654249191284,0.17007149038362745,0.3319878380505592,0.11031090468168259,0.1929326206445694,0.35779789090156555,0.2456331104040146,0.3952787518501282,0.572920560836792,0.3576786518096924,0.5482119917869568,0.7732046246528625,0.4838184714317322
F0,FullHistory official task prediction,reverse,4,43,4300,100.0,319,0.07418604651162791,2293,53.325581395348834,4300,0.0,0.0018853601068258286,0.007523179519921541,0.10794292762875557,0.997778594493866,0.19145490372619797,0.3449373823397036,0.07150053977966309,0.1303333193063736,0.2440800666809082,0.17215292155742645,0.29243531823158264,0.44661569595336914,0.36842235922813416,0.5665820240974426,0.7625626921653748,0.504564106464386
F0,FullHistory official task prediction,reverse,5,43,4300,100.0,250,0.05813953488372093,2104,48.93023255813954,4300,0.0,0.0023543437710031867,0.008840001653879881,0.17722221091389656,0.997303307056427,0.20804052262284067,0.35435533581024575,0.04792429134249687,0.09073711186647415,0.17801950871944427,0.13858845829963684,0.23992878198623657,0.37533876299858093,0.36924096941947937,0.5443105101585388,0.7675338983535767,0.47831910848617554
L0,Local official candidates without persistent identity,reverse,2,43,8600,200.0,2559,0.29755813953488375,2571,59.7906976744186,8600,0.0,0.0005806311673950404,0.0025765685131773353,0.012569898273795843,0.9993172883987427,0.123974912611868,0.29761610164357094,0.06360620260238647,0.09188103675842285,0.20158468186855316,0.1960400491952896,0.281305193901062,0.38442179560661316,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
L0,Local official candidates without persistent identity,reverse,3,43,12900,300.0,4288,0.3324031007751938,2571,59.7906976744186,12900,0.0,0.0006878798885736614,0.003029142040759325,0.01482148002833128,0.9993172883987427,0.13109906440141803,0.30382215377544636,0.025251049548387527,0.032837267965078354,0.12856504321098328,0.11504276096820831,0.15827186405658722,0.2492123544216156,0.38024359941482544,0.5599650740623474,0.7670450806617737,0.510774552822113
L0,Local official candidates without persistent identity,reverse,4,43,17200,400.0,6017,0.34982558139534886,2571,59.7906976744186,17200,0.0,0.000755677348934114,0.0032735910499468446,0.015876125544309616,0.9993172883987427,0.13466114029619305,0.30681609239791785,0.007890881970524788,0.010931440629065037,0.10279826819896698,0.06541047245264053,0.09111552685499191,0.1798519641160965,0.38016340136528015,0.5598302483558655,0.7677204608917236,0.5111438632011414
L0,Local official candidates without persistent identity,reverse,5,43,21500,500.0,7746,0.36027906976744184,2571,59.7906976744186,21500,0.0,0.000806936644949019,0.003377680666744709,0.016626747325062752,0.9993172883987427,0.13679838583305806,0.3085787772397521,0.004228231962770224,0.005462118424475193,0.09685170650482178,0.04577888920903206,0.06239210441708565,0.15166939795017242,0.38000693917274475,0.5593705773353577,0.7671562433242798,0.5101860761642456
L1,Legacy raw-observation conversion without persistent identity,reverse,2,43,920,21.3953488372093,0,0.0,474,11.023255813953488,920,0.5045843720436096,0.9452151954174042,0.9919541478157043,0.9982923269271851,0.9999380111694336,0.9389434064212052,0.11180718998211012,0.03817567601799965,0.059741124510765076,0.17410169541835785,0.15726900100708008,0.2126966118812561,0.3318178951740265,0.30089300870895386,0.49593526124954224,0.6840049624443054,0.41061848402023315
L1,Legacy raw-observation conversion without persistent identity,reverse,3,43,1394,32.41860465116279,0,0.0,474,11.023255813953488,1394,0.5045843720436096,0.9440549463033676,0.99167400598526,0.998214602470398,0.9999380111694336,0.9378654447997489,0.11348759047185243,0.0142507990822196,0.020121321082115173,0.11617198586463928,0.09080681949853897,0.11843295395374298,0.22152911126613617,0.30017217993736267,0.4948613941669464,0.6819764971733093,0.40949827432632446
L1,Legacy raw-observation conversion without persistent identity,reverse,4,43,1868,43.44186046511628,0,0.0,474,11.023255813953488,1868,0.5045843720436096,0.9436662644147873,0.9915257096290588,0.9981841146945953,0.9999380111694336,0.9373345429305091,0.11430238146215983,0.004519258625805378,0.006698590237647295,0.09833188354969025,0.05121108144521713,0.07015352696180344,0.1656118482351303,0.299969345331192,0.4946308434009552,0.6815335750579834,0.40894293785095215
L1,Legacy raw-observation conversion without persistent identity,reverse,5,43,2342,54.46511627906977,0,0.0,474,11.023255813953488,2342,0.5045843720436096,0.9432359933853149,0.9914658963680267,0.9981518387794495,0.9999380111694336,0.9370185407077422,0.11478344795898392,0.002549257129430771,0.00339980935677886,0.09471912682056427,0.03437118977308273,0.045819949358701706,0.14204643666744232,0.30017217993736267,0.4948613941669464,0.6819764971733093,0.40949827432632446
P0,Legacy raw-observation conversion with B4 identity,reverse,2,43,589,13.69767441860465,0,0.0,474,11.023255813953488,589,0.5137624144554138,0.920396089553833,0.9878851175308228,0.9976853132247925,0.9999011754989624,0.9335123816653706,0.10659773068832419,0.16616703569889069,0.29635122418403625,0.4929211437702179,0.27296704053878784,0.3966160714626312,0.5626937747001648,0.29794609546661377,0.49186161160469055,0.6775162220001221,0.4075973927974701
P0,Legacy raw-observation conversion with B4 identity,reverse,3,43,655,15.232558139534884,0,0.0,474,11.023255813953488,655,0.5137624144554138,0.8928017616271973,0.9818971753120422,0.9967943131923676,0.9999125003814697,0.9273338361550834,0.1052760345401126,0.09635227173566818,0.19922642409801483,0.3467152416706085,0.18617476522922516,0.30015829205513,0.43236926198005676,0.2968812882900238,0.4967601001262665,0.6865881085395813,0.4093506932258606
P0,Legacy raw-observation conversion with B4 identity,reverse,4,43,706,16.41860465116279,0,0.0,474,11.023255813953488,706,0.5137624144554138,0.8838429301977158,0.9751678705215454,0.9952915161848068,0.9999125003814697,0.9241208499112818,0.10250770433806218,0.06008162721991539,0.13617651164531708,0.23996353149414062,0.1292068511247635,0.22858944535255432,0.3312387764453888,0.3062661588191986,0.5026589632034302,0.6881441473960876,0.41130632162094116
P0,Legacy raw-observation conversion with B4 identity,reverse,5,43,743,17.27906976744186,0,0.0,474,11.023255813953488,743,0.5137624144554138,0.8800319731235504,0.9693011045455933,0.9948579967021942,0.9998318552970886,0.9217591371542673,0.10176682936611893,0.043343160301446915,0.09937227517366409,0.16936667263507843,0.09489944577217102,0.18091823160648346,0.28084829449653625,0.2996515929698944,0.4949992895126343,0.6797076463699341,0.40803998708724976
P1,V2 official candidates with B4 identity,reverse,2,43,8197,190.62790697674419,2559,0.3121873856288886,2571,59.7906976744186,8197,0.0,0.0005194859695620835,0.0023073269985616207,0.009280592203140259,0.9977969527244568,0.09355360572799848,0.25812467435170966,0.21162836253643036,0.3367443382740021,0.5386040210723877,0.3542424142360687,0.5319663286209106,0.6997557282447815,0.3749467134475708,0.561781108379364,0.7685652375221252,0.5104965567588806
P1,V2 official candidates with B4 identity,reverse,3,43,12016,279.4418604651163,4288,0.35685752330226367,2571,59.7906976744186,12016,0.0,0.0006123792845755816,0.0025375394616276026,0.009689478669315577,0.9977166652679443,0.0854638240500599,0.24378472156362302,0.12758111953735352,0.2215031236410141,0.37803176045417786,0.24586574733257294,0.3960317373275757,0.5467223525047302,0.36367639899253845,0.5669835805892944,0.7693859338760376,0.510774552822113
