file_name,gt_instance_id,gt_label,size_points,size_bin,segments_per_gt,within_instance_feature_variance,nearest_instance_cosine_margin,mean_segment_purity,mean_gt_instances_per_segment
scene0019_02-scene0019_01,38,2,370,medium_100_999,30,0.046064380556344986,0.3372166156768799,1.0,1.0
scene0019_02-scene0019_01,39,2,208,medium_100_999,12,0.004933146759867668,0.16244781017303467,1.0,1.0
scene0019_02-scene0019_01,43,6,2419,large_ge1000,300,0.05781198665499687,0.05781012773513794,1.0,1.0
scene0029_00-scene0029_01,2,3,4106,large_ge1000,153,0.09116960316896439,0.23598867654800415,1.0,1.0
scene0029_00-scene0029_01,3,4,1936,large_ge1000,97,0.014307918958365917,0.23598867654800415,0.9999999403953552,0.9999999403953552
scene0029_00-scene0029_01,6,0,749,medium_100_999,22,0.006033438257873058,0.0070822834968566895,1.0,1.0
scene0029_00-scene0029_01,8,0,610,medium_100_999,15,0.0023640033323317766,0.0070822834968566895,1.0,1.0
scene0029_00-scene0029_01,9,17,4630,large_ge1000,216,0.05123629420995712,0.08827006816864014,1.0,1.0
scene0029_00-scene0029_01,10,8,153,medium_100_999,5,0.07937221974134445,0.08827006816864014,1.0,1.0
scene0029_00-scene0029_01,12,0,3788,large_ge1000,218,0.03765212371945381,0.048986613750457764,0.9999999403953552,0.9999999403953552
scene0029_00-scene0029_01,13,0,961,medium_100_999,26,0.0154468584805727,0.048986613750457764,1.0,1.0
scene0029_00-scene0029_01,14,11,784,medium_100_999,45,0.14892572164535522,0.015178501605987549,1.0,1.0
scene0029_00-scene0029_01,24,17,3,small_lt100,3,0.004055927507579327,1.0796603187918663,1.0,1.0
scene0029_00-scene0029_01,37,11,1576,large_ge1000,40,0.003981911577284336,0.005595386028289795,1.0,1.0
scene0029_00-scene0029_01,38,11,2114,large_ge1000,82,0.047179944813251495,0.005595386028289795,0.9999999403953552,0.9999999403953552
scene0029_01-scene0029_00,2,3,4110,large_ge1000,155,0.08837635815143585,0.23192983865737915,1.0,1.0
scene0029_01-scene0029_00,3,4,1936,large_ge1000,97,0.018844766542315483,0.23192983865737915,0.9999999403953552,0.9999999403953552
scene0029_01-scene0029_00,6,0,749,medium_100_999,22,0.002991796936839819,0.005262017250061035,1.0,1.0
scene0029_01-scene0029_00,8,0,608,medium_100_999,15,0.0016965499380603433,0.005262017250061035,1.0,1.0
scene0029_01-scene0029_00,9,17,4633,large_ge1000,212,0.057805776596069336,0.08376884460449219,1.0,1.0
scene0029_01-scene0029_00,10,8,152,medium_100_999,5,0.06971819698810577,0.08376884460449219,1.0,1.0
scene0029_01-scene0029_00,12,0,3789,large_ge1000,224,0.04898609593510628,0.04984557628631592,1.0,1.0
scene0029_01-scene0029_00,13,0,961,medium_100_999,26,0.01391550712287426,0.04984557628631592,1.0,1.0
scene0029_01-scene0029_00,14,11,785,medium_100_999,45,0.1570926308631897,0.01390165090560913,1.0,1.0
scene0029_01-scene0029_00,24,17,3,small_lt100,3,0.004576557315886021,1.0011582905426621,1.0,1.0
scene0029_01-scene0029_00,37,11,1579,large_ge1000,41,0.0038294456899166107,0.004778444766998291,0.9999999403953552,0.9999999403953552
scene0029_01-scene0029_00,38,11,2111,large_ge1000,82,0.0400715209543705,0.004778444766998291,0.9999999403953552,0.9999999403953552
scene0039_00-scene0039_01,2,3,2296,large_ge1000,67,0.0038060282822698355,0.4849715232849121,1.0,1.0
scene0039_00-scene0039_01,4,11,6142,large_ge1000,294,0.01578003354370594,0.587908148765564,1.0,1.0
scene0039_00-scene0039_01,7,4,5094,large_ge1000,198,0.05830782651901245,0.13043391704559326,1.0,1.0
scene0039_00-scene0039_01,9,11,5582,large_ge1000,211,0.07160153985023499,0.25695109367370605,1.0,1.0
scene0039_00-scene0039_01,10,0,6052,large_ge1000,257,0.009556067176163197,0.1103101372718811,1.0,1.0
scene0039_00-scene0039_01,11,0,6285,large_ge1000,275,0.025540674105286598,0.09352540969848633,1.0,1.0
scene0039_00-scene0039_01,13,0,2344,large_ge1000,73,0.014001013711094856,0.07351559400558472,1.0,1.0
scene0039_00-scene0039_01,23,2,1106,large_ge1000,101,0.017441177740693092,0.13043391704559326,1.0,1.0
scene0039_00-scene0039_01,24,2,1146,large_ge1000,119,0.09025633335113525,0.14887017011642456,1.0,1.0
scene0039_00-scene0039_01,29,8,558,medium_100_999,29,0.022834675386548042,0.07351559400558472,1.0,1.0
scene0039_00-scene0039_01,45,0,1893,large_ge1000,51,0.10419146716594696,0.3015751838684082,1.0,1.0
scene0039_01-scene0039_00,2,3,2295,large_ge1000,68,0.004578012973070145,0.4721612334251404,1.0,1.0
scene0039_01-scene0039_00,4,11,6147,large_ge1000,302,0.017550960183143616,0.5771947205066681,1.0,1.0
